,Churn
CurrentEquipmentDays,0.10368781273223118
MadeCallToRetentionTeam,0.06739314671419708
RetentionCalls,0.06530063726408084
RetentionOffersAccepted,0.03495335051443715
UniqueSubs,0.03452223565240581
HandsetPrice,0.031498066630587296
HandsetRefurbished,0.029948989687964275
MonthsInService,0.018702629311082002
OverageMinutes,0.016460579325657983
ActiveSubs,0.015515370935406754
Homeownership,0.013163135673139271
PercChangeRevenues,0.011117395094504164
RoamingCalls,0.010881836294047521
ChildrenInHH,0.009561998181675966
MaritalStatus,0.009257526193444464
OwnsMotorcycle,0.007294961229865607
NotNewCellphoneUser,0.0067275225375481
PrizmCode,0.004242399157558704
ServiceArea,0.003539648232860952
OptOutMailings,0.00010216801456784375
CallForwardingCalls,-0.0014490537248067696
OwnsComputer,-0.002046382566372241
NonUSTravel,-0.00294093888130208
RVOwner,-0.003454406261376125
TruckOwner,-0.004817582494429299
Occupation,-0.005089603196926741
BlockedCalls,-0.005529714965486628
NewCellphoneUser,-0.007694690630144111
HasCreditCard,-0.008618484761184634
ReferralsMadeBySubscriber,-0.010686491867966521
MonthlyRevenue,-0.011986703188410818
IncomeGroup,-0.012708585703761145
DroppedBlockedCalls,-0.013265874770006672
DroppedCalls,-0.01539740061364183
AdjustmentsToCreditRating,-0.017055874064682737
AgeHH2,-0.018575992681587338
DirectorAssistedCalls,-0.019516480379005764
BuysViaMailOrder,-0.021725089408201118
RespondsToMailOffers,-0.022909974940587288
ThreewayCalls,-0.023854164611368453
CallWaitingCalls,-0.025652577782318175
UnansweredCalls,-0.02935016276535365
AgeHH1,-0.029741191845233283
OutboundCalls,-0.032276120751446806
Handsets,-0.03284548777953603
PercChangeMinutes,-0.03420242393090433
InboundCalls,-0.03423242192280206
CustomerCareCalls,-0.035509879238917054
ReceivedCalls,-0.037452800090243585
PeakCallsInOut,-0.040028907065791736
HandsetModels,-0.040047506922031066
OffPeakCallsInOut,-0.04078378017125855
CustomerID,-0.041557523995999136
CreditRating,-0.04475009486963481
MonthlyMinutes,-0.05016619877177655
TotalRecurringCharge,-0.061296340058845274
HandsetWebCapable,-0.062096218805037476
