Column,Outliers_Count,Outliers_Percentage,Min,Max,Q1,Q3
PercChangeRevenues,13221,25.899661096636432,-1107.7,2483.5,-7.1,1.6
RoamingCalls,8835,17.307579289674223,0.0,1112.4,0.0,0.3
CallWaitingCalls,7448,14.590475444198484,0.0,212.7,0.0,1.3
PercChangeMinutes,6807,13.334769917918782,-3875.0,5192.0,-83.0,66.0
CustomerCareCalls,6721,13.166297725625403,0.0,327.3,0.0,1.7
OverageMinutes,5842,11.444355202068682,0.0,4321.0,0.0,41.0
DirectorAssistedCalls,5530,10.833153760260153,0.0,159.39,0.0,0.99
BlockedCalls,5517,10.80768703351813,0.0,384.3,0.0,3.7
InboundCalls,4973,9.742002468313515,0.0,519.3,0.0,9.3
ThreewayCalls,4622,9.054400846278918,0.0,66.0,0.0,0.3
Handsets,4414,8.646933218406566,1.0,24.0,1.0,2.0
DroppedBlockedCalls,3936,7.710541265892217,0.0,411.7,1.7,12.3
DroppedCalls,3712,7.271729974337375,0.0,221.7,0.7,7.7
ReceivedCalls,3641,7.132642466746332,0.0,2692.4,8.3,153.5
UnansweredCalls,3630,7.1110936979646215,0.0,848.7,5.3,36.3
OffPeakCallsInOut,3624,7.099339824083688,0.0,1474.7,11.0,88.7
OutboundCalls,3342,6.546907751679824,0.0,644.3,3.3,34.0
MonthlyRevenue,2997,5.871060003526162,-6.17,1223.38,33.61,71.065
PeakCallsInOut,2803,5.491018081375987,0.0,2090.7,23.0,121.3
MonthlyMinutes,2567,5.028699042059278,0.0,7359.0,158.0,723.0
ReferralsMadeBySubscriber,2384,4.670205888690814,0.0,35.0,0.0,0.0
HandsetModels,2008,3.93362979215233,1.0,15.0,1.0,2.0
UniqueSubs,1874,3.6711266088114876,1.0,196.0,1.0,2.0
AdjustmentsToCreditRating,1838,3.600603365525888,0.0,25.0,0.0,0.0
RetentionCalls,1745,3.4184183203714227,0.0,4.0,0.0,0.0
CurrentEquipmentDays,1446,2.832683605304915,-5.0,1812.0,205.0,515.0
MonthsInService,1218,2.3860363978294514,6.0,61.0,11.0,24.0
RetentionOffersAccepted,881,1.7258604815170335,0.0,3.0,0.0,0.0
TotalRecurringCharge,824,1.6141986796481673,-11.0,400.0,30.0,60.0
ActiveSubs,611,1.1969361568750367,0.0,53.0,1.0,2.0
CallForwardingCalls,234,0.45840108135639707,0.0,81.3,0.0,0.0
