customer_id,plan_type,contract_type,tenure_months,monthly_revenue,monthly_usage_hrs,total_users,feature_adoption_pct,support_tickets_last_90d,last_login_days_ago,nps_score,payment_delay_count,churned
C-0001,Starter,Monthly,19,112.58,20.1,4,73.6,0,34,0,4,1
C-0002,Starter,Annual,14,89.52,25.6,1,54.8,15,67,7,1,1
C-0003,Professional,Annual,23,797.96,136.1,9,66.0,1,36,1,5,0
C-0004,Starter,Monthly,25,57.24,16.2,2,15.2,11,37,4,0,1
C-0005,Starter,Monthly,28,58.13,12.5,1,63.6,6,11,3,3,0
C-0006,Professional,Annual,44,745.1,24.1,10,89.0,15,52,7,3,0
C-0007,Professional,Annual,22,659.15,79.3,12,40.4,9,42,9,0,1
C-0008,Enterprise,Monthly,40,2189.46,265.2,42,27.2,3,13,0,1,1
C-0009,Starter,Monthly,14,85.26,4.9,5,72.2,4,24,3,1,0
C-0010,Enterprise,Monthly,44,3929.87,67.5,93,54.2,10,3,7,0,1
C-0011,Starter,Monthly,28,52.13,27.5,1,37.2,3,38,4,4,1
C-0012,Starter,Annual,27,193.88,34.6,2,72.5,8,84,2,3,0
C-0013,Enterprise,Annual,16,1029.03,195.8,16,47.1,10,61,2,2,1
C-0014,Starter,Monthly,24,126.09,14.0,4,75.3,5,47,8,1,1
C-0015,Professional,Annual,39,736.41,96.9,12,80.6,11,10,6,5,0
C-0016,Professional,Monthly,46,620.23,55.9,15,65.8,9,38,6,2,0
C-0017,Starter,Annual,1,54.53,6.2,3,24.4,4,67,6,3,1
C-0018,Starter,Monthly,1,168.12,31.1,4,74.8,11,5,1,5,1
C-0019,Professional,Monthly,40,607.44,49.7,18,22.2,10,5,2,4,0
C-0020,Starter,Annual,43,61.51,30.0,1,80.4,15,30,4,5,0
C-0021,Starter,Monthly,27,64.66,40.5,1,73.5,4,87,1,3,0
C-0022,Starter,Monthly,12,123.17,18.7,2,71.0,6,16,8,3,1
C-0023,Enterprise,Monthly,6,4829.78,220.0,64,87.1,12,66,8,0,1
C-0024,Professional,Monthly,21,418.88,74.1,16,16.9,13,53,8,4,0
C-0025,Enterprise,Annual,27,4723.73,109.7,42,44.6,0,43,9,2,0
C-0026,Professional,Monthly,5,331.45,96.3,16,93.7,5,16,4,2,0
C-0027,Professional,Monthly,39,442.45,97.1,5,90.6,13,72,7,5,0
C-0028,Professional,Annual,25,547.84,91.9,19,50.9,13,25,1,4,0
C-0029,Starter,Monthly,32,144.05,17.1,2,43.0,5,23,5,4,0
C-0030,Professional,Monthly,1,764.77,37.4,12,44.5,0,14,7,3,1
C-0031,Starter,Annual,37,173.82,52.0,2,49.7,0,67,5,5,1
C-0032,Enterprise,Monthly,10,1529.86,53.0,34,39.6,15,26,10,5,1
C-0033,Professional,Monthly,47,373.6,119.6,19,36.3,2,0,4,0,0
C-0034,Professional,Monthly,48,295.61,46.4,9,74.0,9,67,2,5,1
C-0035,Enterprise,Annual,14,3942.23,131.2,97,71.6,10,52,1,0,0
C-0036,Professional,Monthly,16,700.88,90.2,16,82.8,10,64,10,3,0
C-0037,Professional,Annual,13,751.09,145.8,5,70.4,3,83,2,4,0
C-0038,Professional,Annual,2,685.72,47.2,15,46.0,12,29,6,5,0
C-0039,Professional,Monthly,33,244.18,52.0,16,90.9,10,74,8,2,1
C-0040,Starter,Annual,32,141.67,43.6,5,33.6,0,28,7,2,0
C-0041,Professional,Monthly,48,264.59,46.1,11,72.9,4,88,7,5,1
C-0042,Professional,Monthly,41,405.38,125.7,10,14.6,12,64,7,4,1
C-0043,Enterprise,Monthly,26,2185.0,121.0,89,34.8,2,64,5,1,0
C-0044,Professional,Monthly,33,501.67,42.0,3,87.1,2,41,1,2,0
C-0045,Professional,Monthly,37,253.55,72.0,5,44.7,11,56,6,2,1
C-0046,Enterprise,Monthly,9,3753.18,251.2,59,19.2,10,84,4,5,0
C-0047,Professional,Monthly,9,537.63,93.0,11,59.3,9,24,10,5,0
C-0048,Professional,Monthly,31,700.19,148.3,15,16.5,7,69,8,3,1
C-0049,Starter,Annual,3,156.06,35.8,1,69.3,11,51,7,4,1
C-0050,Enterprise,Annual,42,4886.49,246.1,56,91.5,6,49,0,0,0
C-0051,Starter,Monthly,30,54.6,24.2,5,75.9,7,52,0,5,1
C-0052,Professional,Annual,29,281.49,107.0,3,86.7,7,81,3,4,0
C-0053,Starter,Monthly,1,163.75,35.5,4,43.7,15,54,3,3,1
C-0054,Starter,Annual,15,94.29,16.5,2,93.9,12,46,6,3,1
C-0055,Professional,Annual,45,201.51,72.7,13,51.7,9,24,9,3,0
C-0056,Starter,Monthly,29,80.18,16.2,4,31.4,0,75,5,2,0
C-0057,Enterprise,Annual,32,3934.31,110.3,94,14.3,11,66,8,3,1
C-0058,Starter,Monthly,14,197.15,9.9,5,78.1,13,53,2,2,1
C-0059,Professional,Monthly,4,611.85,93.3,19,14.4,0,11,4,3,1
C-0060,Starter,Annual,47,51.95,3.5,5,67.1,1,57,3,4,1
C-0061,Starter,Monthly,46,84.77,19.9,4,34.1,12,73,3,4,1
C-0062,Starter,Annual,7,81.6,35.3,3,90.4,12,63,1,4,1
C-0063,Starter,Annual,23,94.07,56.1,5,64.2,5,45,10,0,1
C-0064,Enterprise,Annual,3,1624.54,138.3,48,83.1,0,73,4,1,0
C-0065,Starter,Annual,21,134.71,38.0,5,13.1,7,17,3,4,1
C-0066,Professional,Monthly,30,433.51,75.9,15,80.7,10,9,3,2,1
C-0067,Starter,Annual,31,132.52,33.0,3,34.7,6,2,8,0,0
C-0068,Professional,Monthly,37,598.71,102.4,17,70.0,5,49,6,1,0
C-0069,Enterprise,Monthly,23,4720.3,189.8,80,37.7,7,28,1,0,0
C-0070,Professional,Monthly,29,697.53,72.8,17,51.9,4,90,10,4,0
C-0071,Starter,Monthly,15,58.86,11.1,4,37.2,14,34,0,2,1
C-0072,Enterprise,Monthly,44,4311.03,102.3,11,42.1,15,67,7,0,0
C-0073,Professional,Monthly,39,483.29,140.7,15,37.5,14,8,3,3,1
C-0074,Enterprise,Monthly,17,3731.66,73.7,49,36.9,14,45,2,2,1
C-0075,Starter,Annual,44,171.63,49.8,5,22.4,10,17,6,5,0
C-0076,Professional,Annual,46,267.5,87.7,6,74.8,3,14,5,5,0
C-0077,Enterprise,Annual,35,4431.32,68.6,68,46.4,13,63,0,5,1
C-0078,Professional,Annual,35,205.55,99.1,9,52.8,6,8,9,1,0
C-0079,Starter,Monthly,32,98.01,57.3,1,31.1,9,44,6,1,0
C-0080,Enterprise,Annual,37,1433.07,125.2,56,21.8,10,57,0,2,1
C-0081,Enterprise,Annual,47,2776.14,182.6,91,21.3,6,68,8,0,0
C-0082,Starter,Monthly,18,199.31,44.9,2,49.4,12,14,10,4,0
C-0083,Starter,Monthly,45,126.69,38.7,5,89.5,8,61,6,5,0
C-0084,Enterprise,Annual,41,2771.45,102.3,81,39.3,8,60,8,3,0
C-0085,Professional,Monthly,7,542.48,132.8,6,77.7,4,22,9,2,1
C-0086,Enterprise,Annual,45,1736.26,177.6,99,10.1,12,23,5,1,0
C-0087,Starter,Annual,33,104.08,21.8,3,15.5,5,40,8,4,0
C-0088,Enterprise,Monthly,1,1014.9,108.1,61,29.1,6,20,8,1,1
C-0089,Starter,Annual,40,51.36,59.1,5,79.1,12,46,7,0,1
C-0090,Enterprise,Annual,28,3547.83,73.1,28,76.3,11,7,8,3,1
C-0091,Professional,Annual,21,431.56,144.9,9,35.3,12,6,10,5,0
C-0092,Enterprise,Monthly,14,885.2,92.5,56,56.3,5,66,9,5,0
C-0093,Starter,Annual,43,82.02,14.1,4,27.2,0,70,4,3,1
C-0094,Professional,Annual,10,508.49,21.9,9,69.6,12,39,9,0,0
C-0095,Enterprise,Annual,43,2898.36,192.7,90,17.7,7,32,10,5,1
C-0096,Enterprise,Monthly,7,1056.46,287.7,22,43.0,7,48,6,1,0
C-0097,Enterprise,Monthly,24,4315.76,126.5,47,73.8,10,58,9,3,1
C-0098,Enterprise,Monthly,7,3462.19,177.9,77,46.3,1,48,6,5,1
C-0099,Professional,Monthly,25,734.61,58.5,3,64.2,14,33,9,5,1
C-0100,Professional,Annual,7,745.41,113.5,7,86.6,8,9,0,3,1
C-0101,Professional,Monthly,21,792.05,133.6,10,82.1,4,9,6,2,1
C-0102,Starter,Annual,10,184.54,46.9,5,26.6,8,32,0,3,1
C-0103,Starter,Annual,44,119.61,11.9,5,41.9,5,31,10,5,1
C-0104,Starter,Annual,2,176.08,27.2,1,31.5,10,29,3,5,1
C-0105,Starter,Annual,17,118.26,46.1,3,31.7,2,21,9,4,0
C-0106,Starter,Annual,12,73.49,49.6,2,53.1,2,45,10,1,1
C-0107,Professional,Annual,23,283.22,129.8,15,56.5,3,20,6,4,0
C-0108,Starter,Monthly,21,163.89,29.7,2,93.9,4,35,9,0,1
C-0109,Professional,Monthly,16,691.0,109.4,8,41.1,5,62,4,4,1
C-0110,Starter,Annual,36,84.55,57.7,3,14.0,7,61,10,3,1
C-0111,Starter,Annual,18,73.15,44.4,3,72.7,0,24,3,0,0
C-0112,Professional,Annual,19,533.98,105.2,7,60.2,1,65,5,0,1
C-0113,Starter,Annual,43,126.67,30.7,1,38.4,0,40,1,4,1
C-0114,Starter,Monthly,7,58.9,5.0,3,34.6,15,73,3,4,1
C-0115,Starter,Monthly,17,178.12,2.6,2,70.4,11,50,8,5,0
C-0116,Professional,Annual,34,437.68,107.6,18,74.1,15,37,4,4,1
C-0117,Starter,Monthly,9,82.87,23.9,1,75.2,15,33,1,1,1
C-0118,Starter,Monthly,28,127.51,14.2,2,40.2,4,68,10,4,1
C-0119,Starter,Monthly,16,166.06,8.8,1,21.6,10,61,7,2,1
C-0120,Enterprise,Monthly,19,4778.02,283.8,37,66.6,3,54,3,3,1
C-0121,Starter,Monthly,17,175.13,34.1,2,38.8,15,49,4,1,1
C-0122,Enterprise,Monthly,40,1724.9,102.3,89,74.8,11,30,9,2,1
C-0123,Professional,Annual,3,513.15,89.8,14,26.0,14,30,4,5,0
C-0124,Starter,Monthly,39,123.33,43.7,4,93.2,8,62,3,5,0
C-0125,Professional,Monthly,18,656.51,143.9,4,59.0,13,58,8,0,0
C-0126,Starter,Annual,22,136.24,56.9,2,61.8,3,4,10,1,0
C-0127,Starter,Monthly,14,186.28,25.3,5,18.2,1,66,0,2,0
C-0128,Professional,Monthly,21,457.59,103.1,9,12.7,5,13,10,4,0
C-0129,Professional,Annual,5,606.46,75.2,6,42.9,14,23,3,3,1
C-0130,Enterprise,Monthly,17,3059.72,133.0,81,88.0,13,57,1,1,1
C-0131,Enterprise,Annual,36,4294.04,188.3,28,81.5,3,21,7,4,0
C-0132,Enterprise,Monthly,42,1491.34,194.4,96,59.5,12,3,10,4,1
C-0133,Professional,Monthly,36,667.03,133.8,9,49.5,7,7,4,1,0
C-0134,Professional,Monthly,21,421.05,72.5,18,11.9,3,55,9,2,1
C-0135,Professional,Annual,18,649.84,20.3,4,73.4,8,4,7,2,0
C-0136,Starter,Annual,8,57.64,26.5,1,47.8,15,20,9,3,0
C-0137,Starter,Annual,33,149.26,21.2,3,23.1,6,34,4,4,1
C-0138,Professional,Annual,10,737.68,68.7,18,68.6,13,52,10,2,0
C-0139,Professional,Annual,33,740.8,80.0,20,69.7,7,85,7,0,0
C-0140,Enterprise,Monthly,38,3928.4,85.7,92,70.7,1,55,7,3,1
C-0141,Starter,Annual,1,165.18,8.2,3,88.9,0,32,0,1,1
C-0142,Enterprise,Monthly,19,1307.85,275.1,62,68.0,15,59,5,1,1
C-0143,Enterprise,Monthly,10,4501.66,193.9,100,72.5,14,13,7,3,1
C-0144,Enterprise,Monthly,19,1549.48,224.1,30,58.4,0,88,4,1,0
C-0145,Professional,Monthly,47,444.32,71.7,8,82.1,14,4,2,5,1
C-0146,Starter,Monthly,41,197.6,15.5,1,37.1,9,53,4,3,1
