customer_id,plan_type,contract_type,subscription_date,total_users,unsubscribed_date,churned,payment_value_mean,payment_value_sum,payment_value_std,payment_value_min,payment_value_max,payment_delay_days_mean,payment_delay_days_max,is_dunning_sum,is_dunning_mean,is_on_time_sum,is_on_time_mean,payment_consistency_score,dunning_event_count,dunning_event_ratio,monthly_usage_hrs_mean,monthly_usage_hrs_std,monthly_usage_hrs_max,monthly_usage_hrs_min,feature_adoption_pct_mean,feature_adoption_pct_std,feature_adoption_pct_max,last_login_date_max,days_since_last_login,usage_trend,avg_monthly_usage_hours,avg_nps_score,nps_std,nps_min,nps_max,recent_nps_score,nps_trend,detractor_ratio,nps_normalized,total_tickets,tickets_account,tickets_billing,tickets_feature request,tickets_onboarding,tickets_technical,priority_critical,priority_high,priority_low,priority_medium,resolved_tickets,open_tickets,critical_high_tickets,critical_ticket_ratio,resolution_rate,unresolved_ratio,tenure_days,tenure_months,tenure_years,months_to_renewal,inactive_flag,mrr_current,mrr_6mo_avg,contract_factor,annual_value,payment_health_score,engagement_health_score,satisfaction_health_score,revenue_at_risk,payment_trend,usage_per_user,usage_segment,feature_adoption_trend,engagement_velocity,churn_risk_score,support_burden_ratio,starter_monthly_usage_per_user,starter_engagement_to_cost,professional_expansion_potential,professional_revenue_quality,enterprise_account_health,enterprise_strategic_risk,total_users_change,nps_deterioration_risk,cost_per_user,roi_indicator
C-0001,Starter,Monthly,2023-05-31,4,2024-05-12,1,112.58,2139.02,0.0,112.58,112.58,2.0,15,0,0.0,15,0.7894736842105263,0.7894736842105263,0.0,0.0,20.1,,20.1,20.1,73.6,,73.6,2024-11-27,35,0.0,20.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09090909090909091,9.0,1.0,2.0,1.0,0.0,3.0,1.0,2.0,2.0,3.0,6.0,2.0,3.0,0.3333333333333333,0.75,0.25,581,19.366666666666667,1.5917808219178082,0,1,112.58,112.58,1.0,1350.96,0.8814035087719297,1.0,0.42045454545454547,500.6524172248803,0.0,5.025,light_user,0.0,0.0,0.8136048644338117,0.35386631716906947,5.025,0.008882572392965003,0.0,0.0,0.0,0.0,3,0.0,28.145,0.17853970509859657
C-0002,Starter,Annual,2023-10-31,1,2024-02-11,1,1074.24,2148.48,0.0,1074.24,1074.24,1.0,2,0,0.0,1,0.5,0.5,0.0,0.0,25.6,,25.6,25.6,54.8,,54.8,2024-10-25,68,0.0,25.6,6.5,0.7071067811865476,6.0,7.0,7.0,0.5,0.5,0.6818181818181818,17.0,2.0,6.0,2.0,4.0,3.0,0.0,4.0,6.0,7.0,15.0,2.0,4.0,0.23529411764705882,0.8823529411764706,0.11764705882352941,428,14.266666666666667,1.1726027397260275,9,1,1074.24,1074.24,0.7,2148.48,0.7433333333333334,1.0,0.7526737967914437,5048.600557860962,0.0,25.6,light_user,0.0,0.0,0.8483351158645276,1.1915887850467288,25.6,0.0009308906761989872,0.0,0.0,0.0,0.0,0,0.0,1074.24,0.023830801310694073
C-0003,Professional,Annual,2023-01-31,9,,0,9575.52,47877.600000000006,0.0,9575.52,9575.52,6.4,11,3,0.6,0,0.0,0.0,3.0,0.6,136.1,,136.1,136.1,66.0,,66.0,2024-11-25,37,0.0,136.1,5.0,1.4142135623730951,4.0,6.0,5.0,0.0,1.0,0.5454545454545454,3.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,2.0,0.6666666666666666,1.0,0.0,701,23.366666666666667,1.9205479452054794,0,1,9575.52,9575.52,0.7,47877.600000000006,0.2773333333333333,1.0,0.5833333333333334,13012.493311999999,0.0,15.122222222222222,power_user,0.0,0.0,0.6429,0.12838801711840228,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,8,0.0,1063.9466666666667,0.014213327317994217
C-0004,Starter,Monthly,2022-08-31,2,,0,57.24,1431.0,0.0,57.24,57.24,0.0,0,0,0.0,25,1.0,1.0,0.0,0.0,16.2,,16.2,16.2,15.2,,15.2,2024-11-24,38,0.0,16.2,5.5,2.1213203435596424,4.0,7.0,4.0,-1.5,0.5,0.5909090909090909,13.0,3.0,3.0,2.0,1.0,4.0,2.0,4.0,3.0,4.0,11.0,2.0,6.0,0.46153846153846156,0.8461538461538461,0.15384615384615385,854,28.466666666666665,2.33972602739726,0,1,57.24,57.24,1.0,686.88,1.0,1.0,0.6416083916083917,440.7079720279721,0.0,8.1,light_user,0.0,0.0,0.9104020979020979,0.4566744730679157,8.1,0.017470300489168412,0.0,0.0,0.0,0.0,1,1.5,28.62,0.2830188679245283
C-0005,Starter,Monthly,2021-04-30,1,,0,58.13,1627.64,0.0,58.13,58.13,0.5714285714285714,8,0,0.0,25,0.8928571428571429,0.8928571428571429,0.0,0.0,12.5,,12.5,12.5,63.6,,63.6,2024-12-20,12,0.0,12.5,4.0,1.4142135623730951,3.0,5.0,3.0,-1.0,1.0,0.45454545454545453,8.0,0.0,2.0,1.0,0.0,5.0,1.0,2.0,1.0,4.0,6.0,2.0,3.0,0.375,0.75,0.25,1342,44.733333333333334,3.6767123287671235,0,0,58.13,58.13,1.0,697.5600000000001,0.9426190476190477,1.0,0.5710227272727273,375.466482711039,0.0,12.5,light_user,0.0,0.0,0.8726723484848486,0.17883755588673622,12.5,0.01720282126268708,0.0,0.0,0.0,0.0,0,1.0,58.13,0.2150352657835885
C-0006,Professional,Annual,2023-02-28,10,,0,8941.2,35764.8,0.0,8941.2,8941.2,7.0,14,0,0.0,1,0.25,0.25,0.0,0.0,24.1,,24.1,24.1,89.0,,89.0,2024-11-09,53,0.0,24.1,5.5,2.1213203435596424,4.0,7.0,7.0,1.5,0.5,0.5909090909090909,16.0,3.0,2.0,2.0,1.0,8.0,2.0,2.0,4.0,8.0,12.0,4.0,4.0,0.25,0.75,0.25,673,22.433333333333334,1.8438356164383563,1,1,8941.2,8941.2,0.7,35764.8,0.5783333333333334,1.0,0.6704545454545454,29122.098027272725,0.0,2.41,light_user,0.0,0.0,0.7700303030303031,0.7132243684992571,0.0,0.0,0.9,0.14772727272727273,0.0,0.0,9,0.0,894.1200000000001,0.0026953876437167267
C-0007,Professional,Annual,2021-08-31,12,,0,7909.8,15819.6,0.0,7909.8,7909.8,0.0,0,0,0.0,2,1.0,1.0,0.0,0.0,79.3,,79.3,79.3,40.4,,40.4,2024-11-19,43,0.0,79.3,9.5,0.7071067811865476,9.0,10.0,9.0,-0.5,0.0,0.9545454545454546,11.0,1.0,6.0,2.0,1.0,1.0,1.0,0.0,7.0,3.0,6.0,5.0,1.0,0.09090909090909091,0.5454545454545454,0.45454545454545453,1219,40.63333333333333,3.33972602739726,7,1,7909.8,7909.8,0.7,15819.6,1.0,1.0,0.8409090909090909,55871.950909090905,0.0,6.608333333333333,regular_user,0.0,0.0,0.9602272727272727,0.27071369975389664,0.0,0.0,0.9166666666666666,0.9545454545454546,0.0,0.0,11,0.5,659.15,0.01002553794027662
C-0008,Enterprise,Monthly,2023-10-31,42,,0,2189.46,89767.86,0.0,2189.46,2189.46,0.36585365853658536,15,0,0.0,40,0.975609756097561,0.975609756097561,0.0,0.0,265.2,,265.2,265.2,27.2,,27.2,2024-12-18,14,0.0,265.2,0.0,1.4142135623730951,0.0,0.0,0.0,0.0,1.0,0.09090909090909091,4.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,0.5,0.75,0.25,428,14.266666666666667,1.1726027397260275,0,0,2189.46,2189.46,1.0,26273.52,0.9853658536585366,1.0,0.35795454545454547,9267.095773835921,0.0,6.314285714285714,power_user,0.0,0.0,0.8343666851441242,0.2803738317757009,0.0,0.0,0.0,0.0,0.833634977827051,0.5,41,0.0,52.13,0.12112575703598147
C-0009,Starter,Monthly,2021-04-30,5,,0,85.26,1193.64,0.0,85.26,85.26,0.9285714285714286,13,0,0.0,13,0.9285714285714286,0.9285714285714286,0.0,0.0,4.9,,4.9,4.9,72.2,,72.2,2024-12-07,25,0.0,4.9,2.0,1.4142135623730951,1.0,3.0,3.0,1.0,1.0,0.2727272727272727,4.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,0.5,0.5,0.5,1342,44.733333333333334,3.6767123287671235,0,0,85.26,85.26,1.0,1023.1200000000001,0.9580952380952381,1.0,0.38636363636363635,378.73156363636366,0.0,0.9800000000000001,light_user,0.0,0.0,0.8319242424242425,0.08941877794336811,0.9800000000000001,0.01172882946281961,0.0,0.0,0.0,0.0,4,0.0,17.052,0.0574712643678161
C-0010,Enterprise,Monthly,2022-08-31,93,,0,3929.87,172914.28,0.0,3929.87,3929.87,0.0,0,0,0.0,44,1.0,1.0,0.0,0.0,67.5,,67.5,67.5,54.2,,54.2,2024-12-28,4,0.0,67.5,7.0,1.4142135623730951,7.0,7.0,7.0,0.0,0.0,0.7272727272727273,12.0,3.0,2.0,2.0,1.0,4.0,1.0,5.0,1.0,5.0,10.0,2.0,6.0,0.5,0.8333333333333334,0.16666666666666666,854,28.466666666666665,2.33972602739726,0,0,3929.87,3929.87,1.0,47158.44,1.0,1.0,0.696969696969697,32868.00363636364,0.0,0.7258064516129032,regular_user,0.0,0.0,0.9242424242424243,0.4215456674473068,0.0,0.0,0.0,0.0,0.9242424242424243,0.5,92,0.0,42.25666666666667,0.0171761406865876
