days_since_last_login,avg_monthly_usage_hours,payment_delay_days_mean,critical_ticket_ratio,avg_nps_score,revenue_at_risk,payment_consistency_score,unresolved_ratio,total_tickets,mrr_current,tenure_days,usage_per_user,feature_adoption_pct_mean,total_users,churned
1,30.2,1.8,0.4285714285714285,10.0,3221.0043428571425,0.8,0.3571428571428571,14.0,376.16,1097,1.6777777777777778,36.4,18,0
76,108.6,0.0,0.2142857142857142,3.5,6018.434415584416,1.0,0.0714285714285714,14.0,792.17,1007,21.72,87.2,5,0
67,98.1,11.0,0.375,3.0,7961.595075,0.0,0.1875,16.0,4776.36,763,6.13125,80.5,16,0
9,33.8,0.4230769230769231,0.5384615384615384,2.5,2498.473913286713,0.8846153846153846,0.4615384615384615,13.0,541.73,246,1.9882352941176469,15.0,17,0
28,104.5,1.1428571428571428,0.3333333333333333,7.0,2412.4658424242425,0.9047619047619048,0.2222222222222222,9.0,293.61,1403,8.708333333333334,87.6,12,1
62,91.5,6.0,0.2857142857142857,0.5,5135.920265454545,0.0,0.5714285714285714,7.0,5573.16,276,30.5,65.5,3,0
65,38.6,0.3333333333333333,0.4,9.5,20231.915424,0.6666666666666666,0.3,10.0,3612.24,307,2.2705882352941176,31.6,17,0
5,20.3,9.0,0.5,8.5,20551.83984,0.0,0.375,8.0,7798.08,1007,5.075,73.4,4,0
15,87.7,6.0,0.5,4.0,6495.872727272728,0.0,0.0,4.0,3210.0,1066,14.616666666666667,74.8,6,0
70,46.5,8.0,0.3333333333333333,5.0,2369.7724581818184,0.0,0.2,15.0,691.47,1219,6.642857142857143,23.7,7,0
81,90.5,2.0,0.5,10.0,2663.1017411764706,0.7058823529411765,0.0,2.0,302.08,551,7.541666666666667,34.7,12,0
59,106.0,6.5,0.0,3.0,2993.3407381818183,0.0,0.3333333333333333,3.0,2570.16,307,15.142857142857142,21.2,7,0
74,145.8,9.5,0.375,1.0,10464.400666363636,0.0,0.125,8.0,7393.08,1038,16.200000000000003,20.8,9,0
40,43.3,4.5,0.2857142857142857,8.5,8457.871647272726,0.0,0.1428571428571428,7.0,4983.48,276,3.0928571428571425,92.0,14,0
45,65.3,9.6,0.3333333333333333,2.0,3840.96438981818,0.0,0.0,6.0,4218.48,127,21.766666666666666,43.7,3,0
37,45.1,7.8,0.4615384615384615,4.0,6632.678120727272,0.0,0.1538461538461538,13.0,6620.160000000001,946,15.033333333333331,47.3,3,0
35,132.4,5.25,1.0,3.5,5160.027141818181,0.0,0.3333333333333333,3.0,6895.08,367,8.275,23.9,16,0
33,74.5,10.5,0.4285714285714285,10.0,14570.17848,0.0,0.4285714285714285,7.0,5133.96,1342,5.321428571428571,74.7,14,0
48,24.4,9.6,0.0,4.0,3272.221796072726,0.0,0.3,10.0,3047.04,1403,1.6266666666666665,84.6,15,0
39,120.7,0.4545454545454545,0.0,9.0,6509.871227272728,0.9393939393939394,0.5,2.0,676.51,612,6.035,34.7,20,0
72,64.2,0.3076923076923077,0.0,4.0,5655.218018648018,0.9743589743589745,0.3333333333333333,3.0,742.9,520,3.566666666666667,53.6,18,0
29,88.6,1.75,0.1111111111111111,6.5,30871.72072727272,0.25,0.2222222222222222,9.0,7909.68,612,17.72,44.3,5,1
49,43.4,0.6590909090909091,0.1818181818181818,0.5,3164.398809917355,0.9318181818181818,0.2727272727272727,11.0,603.36,946,6.2,66.0,7,0
