days_since_last_login,avg_monthly_usage_hours,payment_delay_days_mean,critical_ticket_ratio,avg_nps_score,revenue_at_risk,payment_consistency_score,unresolved_ratio,total_tickets,mrr_current,tenure_days,usage_per_user,feature_adoption_pct_mean,total_users,churned
37,49.9,2.6,0.0,5.0,740.3851,0.7333333333333333,0.5,2.0,116.23,367,12.475,43.1,4,0
85,17.5,3.333333333333333,0.6,6.0,6599.0147490909085,0.3333333333333333,0.2,5.0,1971.96,732,3.5,50.5,5,0
69,5.8,1.3714285714285714,0.3333333333333333,9.5,1428.7684769573286,0.8571428571428571,0.9333333333333333,3.0,201.10257142857145,732,1.9333333333333331,54.4,3,0
34,50.9,0.1739130434782608,0.1818181818181818,9.5,804.8588940711462,0.9565217391304348,0.3636363636363636,11.0,81.63,1462,25.45,45.6,2,0
42,36.1,2.5294117647058822,0.75,8.0,1250.7334548128342,0.7647058823529411,0.0,4.0,166.89,701,18.05,19.1,2,0
40,35.1,0.6153846153846154,0.4285714285714285,9.0,1577.587769030969,0.9230769230769232,0.3571428571428571,14.0,181.12,1007,35.1,88.8,1,0
8,35.2,10.5,0.1875,5.0,102.1535965909091,0.0,0.25,16.0,62.6,885,11.733333333333334,33.1,3,0
33,8.2,7.0,1.0,0.0,2230.110196363636,0.0,0.0,1.0,1982.16,1431,2.733333333333333,88.9,3,0
79,8.1,1.1428571428571428,0.3076923076923077,10.0,970.4940142857145,0.7857142857142857,0.5384615384615384,13.0,115.87,1097,8.1,71.5,1,0
91,54.4,7.5,0.0,3.5,3273.741163636364,0.0,0.3333333333333333,3.0,1394.16,1128,13.6,25.0,4,1
80,18.3,8.5,0.375,1.0,862.3515934090907,0.0,0.5,8.0,748.92,428,9.15,59.2,2,0
14,45.0,6.25,0.2727272727272727,5.0,2525.475272727272,0.0,0.0909090909090909,11.0,1150.32,185,11.25,48.3,4,0
80,16.9,0.0,0.25,1.5,3925.094727272728,1.0,0.25,4.0,956.28,428,5.633333333333333,56.5,3,0
55,9.1,0.0,0.0,1.0,4144.437818181818,1.0,0.0,2.0,834.96,154,1.82,67.0,5,0
87,34.3,0.9,0.2307692307692307,4.0,1168.5731110489512,0.9,0.3076923076923077,13.0,174.06,489,17.15,71.3,2,1
26,42.2,0.5714285714285714,0.1538461538461538,0.5,854.7842461538462,0.9428571428571428,0.3076923076923077,13.0,162.58,642,21.1,22.0,2,1
72,38.2,0.0909090909090909,0.375,8.5,1160.461744214876,0.9090909090909092,0.25,8.0,130.71,1189,12.733333333333334,86.7,3,0
80,5.6,1.6,0.2857142857142857,5.0,855.568822857143,0.84,0.2857142857142857,7.0,124.48,93,5.6,93.8,1,0
8,5.0,0.9444444444444444,0.75,3.0,301.25212020202025,0.7777777777777778,0.25,4.0,65.87,215,1.25,21.2,4,0
49,37.0,0.4242424242424242,0.0,7.5,1488.7965480991736,0.9696969696969696,0.6,5.0,171.57,1431,37.0,38.8,1,0
31,22.1,2.6666666666666665,0.1666666666666666,2.0,357.504,0.7777777777777778,0.3333333333333333,12.0,66.88,554,5.525,86.8,4,0
39,8.0,2.0,0.0714285714285714,7.5,8928.059661818177,0.6666666666666666,0.4285714285714285,14.0,1702.4399999999998,581,4.0,39.8,2,0
41,30.7,11.0,0.5,0.5,2414.376261818182,0.0,0.0,2.0,1520.04,1038,30.7,38.4,1,0
54,15.4,1.0,0.5714285714285714,0.5,422.44365584415584,0.9,0.2857142857142857,7.0,105.45,1250,7.7,83.6,2,1
6,7.9,0.4090909090909091,0.0769230769230769,6.5,653.7406291163384,0.9545454545454546,0.3076923076923077,13.0,75.06,398,2.6333333333333333,70.1,3,0
9,37.7,4.333333333333333,0.4166666666666667,7.5,7417.2884639730655,0.6666666666666666,0.25,12.0,1525.176666666667,1431,37.7,57.3,1,0
36,16.0,0.4680851063829787,0.0,7.5,445.8542793036751,0.9148936170212766,0.9333333333333333,1.0,61.18,1342,3.2,78.3,5,0
62,38.7,0.9777777777777776,0.3,6.0,1024.0626555151514,0.8888888888888888,0.1,10.0,126.69,1250,7.74,89.5,5,0
66,24.4,1.0,0.2,5.5,249.0495054545455,0.0,0.0,5.0,81.09,1097,12.2,72.7,2,0
19,38.3,4.888888888888889,0.3333333333333333,3.0,464.850076318743,0.4444444444444444,0.2222222222222222,9.0,103.46,428,38.3,65.0,1,0
4,23.9,4.375,0.5,6.5,791.1733295454544,0.375,0.0,8.0,139.89,1097,4.779999999999999,84.2,5,0
40,51.7,0.1111111111111111,0.3333333333333333,8.0,1366.7210666666665,0.9629629629629628,0.3333333333333333,3.0,156.41999999999996,1342,17.233333333333334,75.6,3,0
73,11.8,0.0,0.2727272727272727,1.0,2850.9447272727275,1.0,0.1818181818181818,11.0,711.12,398,5.9,68.5,2,0
20,30.3,5.75,0.4444444444444444,4.5,4924.304,0.25,0.2222222222222222,9.0,1713.0,367,30.3,72.3,1,1
32,11.9,9.0,0.2,10.0,4123.387295999999,0.0,0.2,5.0,1435.32,520,2.38,41.9,5,0
36,10.5,2.0,0.0,2.5,1265.5197163636362,0.0,0.0,1.0,678.96,1250,2.1,39.2,5,0
55,52.2,0.0,0.4615384615384615,4.5,9449.069538461536,1.0,0.3846153846153846,13.0,2089.08,367,40.87675,48.8,1,0
5,4.4,7.0,0.2,10.0,1475.169696,0.0,0.4,10.0,681.12,367,1.4666666666666668,38.5,3,0
21,26.5,4.0,0.3529411764705882,8.5,1222.919830588235,0.0,0.2941176470588235,17.0,691.68,1158,26.5,47.8,1,0
65,2.6,0.0,0.2727272727272727,4.0,11873.96509090909,1.0,0.0909090909090909,11.0,2221.32,1311,1.3,54.4,2,0
33,58.8,0.5,0.1428571428571428,0.5,6879.325090909091,0.5,0.1428571428571428,14.0,2208.0,367,11.76,88.0,5,0
7,7.4,2.2,0.2352941176470588,1.5,582.929221818182,0.8,0.1764705882352941,17.0,107.44,732,1.85,25.4,4,0
7,38.6,0.75,0.25,9.0,14264.392189090911,0.75,0.25,8.0,2352.96,398,9.65,27.2,4,0
15,44.9,1.1666666666666667,0.4615384615384615,9.5,1694.7389696969694,0.7777777777777778,0.2307692307692307,13.0,199.31,1372,22.45,49.4,2,0
3,2.8,0.375,0.2857142857142857,7.0,1345.3945045454548,0.9166666666666666,0.4285714285714285,7.0,171.22,93,0.5599999999999999,33.2,5,0
85,8.1,0.4888888888888889,0.3333333333333333,7.0,785.3259272727273,0.9333333333333332,0.6666666666666666,3.0,110.7,824,1.62,55.1,5,0
66,23.7,7.0,0.0,0.5,2167.034138181817,0.0,0.25,4.0,1125.36,551,4.74,49.4,5,0
54,11.2,3.0,0.25,0.0,3954.715265454545,0.0,0.25,8.0,2332.79,1038,2.8,73.4,4,1
61,39.1,6.0,0.4,2.0,1074.65904,0.0,0.0,5.0,1084.2,1128,19.55,90.5,2,1
64,7.9,0.0,0.5,8.0,8862.870545454547,1.0,0.1666666666666666,6.0,1421.16,1403,2.6333333333333333,54.7,3,0
11,46.8,3.272727272727273,0.3,5.0,643.0835454545455,0.6363636363636364,0.2,10.0,107.67000000000002,367,9.36,80.0,5,0
52,32.7,0.0,0.375,7.0,4468.017272727273,1.0,0.125,8.0,720.12,367,32.7,81.5,1,0
1,58.8,8.2,0.5,7.0,3221.329215999999,0.0,0.1666666666666666,6.0,2073.72,1462,11.76,31.7,5,0
34,44.0,3.2142857142857144,0.4545454545454545,2.5,408.70987012987007,0.7142857142857143,0.3636363636363636,11.0,89.66,93,8.8,56.4,5,0
70,11.0,0.1521739130434782,0.4285714285714285,7.0,569.6937549407114,0.9782608695652174,0.4285714285714285,7.0,73.99,336,2.2,30.4,5,0
82,56.4,2.6,0.5,5.0,796.8720666666666,0.6,0.1666666666666666,6.0,145.45,62,14.1,85.5,4,0
9,22.0,8.5,0.0,7.0,694.8275727272727,0.0,0.9333333333333333,1.0,617.4,520,22.0,89.4,1,0
49,21.2,0.1590909090909091,0.4,2.0,331.6375907024793,0.9772727272727272,0.2,5.0,57.5375,916,4.24,81.8,5,0
45,44.7,1.7,0.0714285714285714,7.5,552.5103227272725,0.8,0.4285714285714285,14.0,68.05,854,11.175,65.2,4,0
48,45.8,4.5,0.1538461538461538,4.5,9152.363963076925,0.5,0.2307692307692307,13.0,2314.44,398,11.45,25.3,4,0
68,13.5,1.5789473684210529,1.0,8.0,827.3075598086125,0.7894736842105263,0.0,2.0,118.3,763,6.75,45.4,2,0
15,10.1,0.0,0.3333333333333333,6.0,609.7890909090909,1.0,0.2,15.0,74.2,763,2.525,27.0,4,0
27,36.9,2.333333333333333,1.0,5.0,6369.520640000001,0.6666666666666666,0.0,1.0,1854.48,793,18.45,69.4,2,0
40,50.7,4.25,0.75,10.0,410.80875,0.5,0.25,8.0,63.25,1158,16.900000000000002,35.6,3,0
20,26.7,4.8,0.0,6.5,6612.377367272728,0.0,0.0,4.0,2294.4,1189,26.7,64.4,1,0
14,13.9,5.0,0.3333333333333333,9.0,8187.080999999998,0.25,0.2222222222222222,9.0,2019.6,32,3.475,67.0,4,0
29,49.7,0.2666666666666666,0.3076923076923077,3.5,898.4701038694639,0.9666666666666668,0.2307692307692307,13.0,133.84,1311,16.566666666666666,88.9,3,0
31,9.6,8.0,0.3571428571428571,6.5,2698.23204,0.0,0.1428571428571428,14.0,1004.52,62,1.92,62.7,5,1
81,28.8,1.2045454545454546,0.0,4.5,631.3020848484848,0.8863636363636364,0.6666666666666666,3.0,96.44,246,14.4,42.8,2,1
41,16.6,0.8666666666666667,0.3636363636363636,6.0,998.0178545454544,0.9111111111111112,0.4545454545454545,11.0,142.7,215,4.15,39.3,4,0
1,3.7,8.25,0.6,7.0,2190.063616363636,0.0,0.1,10.0,850.8,763,1.2333333333333334,14.5,3,0
90,5.2,0.0,0.6363636363636364,3.0,8629.396363636362,1.0,0.2727272727272727,11.0,2260.08,246,1.7333333333333334,29.8,3,1
75,12.4,0.4827586206896552,0.3571428571428571,10.0,738.2255965517244,0.9655172413793104,0.2857142857142857,14.0,74.83000000000001,1372,4.133333333333334,37.7,3,0
61,3.0,12.75,0.4,7.0,1902.4501439999997,0.0,0.1333333333333333,15.0,912.12,489,3.0,64.6,1,0
10,58.3,0.0,0.5,3.0,1088.6181818181817,1.0,0.1666666666666666,12.0,176.1,1431,14.575,58.1,4,0
68,19.2,0.5172413793103449,0.5714285714285714,10.0,875.7081576354682,0.9310344827586208,0.2857142857142857,7.0,96.54,824,19.2,93.8,1,0
65,39.2,1.0454545454545454,0.0,9.0,1294.7304735537189,0.9090909090909092,0.5,4.0,137.26,1007,9.8,16.9,4,0
72,26.0,3.5,0.2307692307692307,6.0,1167.462565034965,0.5,0.3076923076923077,13.0,195.86,123,26.0,50.2,1,0
17,48.6,0.1627906976744186,0.1538461538461538,5.0,1122.4334769230768,0.9767441860465116,0.2307692307692307,13.0,140.03,612,40.87675,32.3,1,0
4,47.5,0.0,0.3333333333333333,-1.0,6040.062000000001,1.0,0.25,9.0,1917.48,246,23.75,29.7,2,0
51,7.8,0.6666666666666666,0.0,0.0,8960.268392727274,0.6666666666666666,0.0,1.0,2359.32,551,2.6,47.4,3,0
81,23.1,0.825,0.25,9.0,1293.9374163068182,0.9,0.375,8.0,143.01,1219,11.55,18.0,2,1
52,54.4,1.5416666666666667,0.5,7.5,1263.038084848485,0.8333333333333334,0.5,4.0,182.48,123,27.2,94.8,2,1
35,21.2,11.0,0.25,4.0,3517.2915463636364,0.0,0.0,8.0,1791.12,32,7.066666666666666,23.1,3,0
80,25.0,0.5,0.3333333333333333,10.0,621.9172842105263,0.9473684210526316,0.25,9.0,61.04,367,6.25,52.3,4,0
16,8.0,9.333333333333334,0.0,7.0,1875.4220727272725,0.0,0.1428571428571428,7.0,1134.12,1097,2.0,23.2,4,0
49,38.1,0.9565217391304348,0.2142857142857142,0.5,938.6725183512136,0.8695652173913043,0.2142857142857142,14.0,182.75,1219,12.7,20.5,3,0
52,58.5,1.7,0.3125,9.5,1047.7570861363638,0.8,0.3125,16.0,119.67,398,29.25,20.7,2,1
10,14.4,0.0,0.3571428571428571,5.0,8839.727999999997,1.0,0.2142857142857142,14.0,1733.28,123,3.6,76.0,4,0
38,55.1,0.8214285714285714,0.0,7.0,1875.2496623376624,0.8928571428571429,0.0,2.0,192.3,977,18.366666666666667,84.6,3,0
73,41.3,0.9310344827586208,0.4285714285714285,9.5,544.9732213166144,0.8275862068965517,0.2142857142857142,14.0,61.28,1128,10.325,13.8,4,0
41,45.3,0.0,0.3333333333333333,8.0,12845.780181818183,1.0,0.25,9.0,1950.36,428,15.1,56.1,3,0
72,20.2,0.0,0.5454545454545454,3.0,1242.3136363636363,1.0,0.0909090909090909,11.0,198.05,701,5.05,35.9,4,0
17,7.8,0.0,0.3076923076923077,0.5,7359.765734265733,1.0,0.4615384615384615,13.0,2331.0,793,3.9,38.7,2,0
43,8.7,6.0,0.3333333333333333,2.5,236.81061818181823,0.0,0.6666666666666666,3.0,141.88,307,2.9,43.4,3,0
26,34.7,0.0,0.4545454545454545,2.5,734.8418181818181,1.0,0.5454545454545454,11.0,149.69,977,6.94,48.9,5,1
64,59.2,0.0,1.0,8.0,2837.474181818181,1.0,0.9333333333333333,2.0,825.7199999999999,612,14.8,78.5,4,0
63,2.3,8.0,0.5714285714285714,4.0,1403.2950981818185,0.0,0.2857142857142857,14.0,1320.24,1462,0.4599999999999999,31.0,5,0
30,27.2,6.2,0.0909090909090909,2.0,2293.3683665454546,0.0,0.0909090909090909,11.0,2112.96,367,27.2,31.5,1,1
31,25.8,1.5714285714285714,0.1818181818181818,9.0,934.691703896104,0.7857142857142857,0.3636363636363636,11.0,107.89,520,5.16,39.6,5,0
85,53.4,0.0,0.5,7.5,5794.930909090908,1.0,0.1666666666666666,6.0,958.56,1372,26.7,55.1,2,0
