time,elapsed,author,message,sentiment,emotion
2026-03-24 14:44:14,0:00:00,@m0ndazee2,L thumbnail,Neutral,Neutral
2026-03-24 14:44:14,0:00:00,@ranzehandsomebgt,gcc makanan gw hampir habis,Neutral,Neutral
2026-03-24 14:44:15,0:00:01,@sia2008,damn,Neutral,Neutral
2026-03-24 14:44:16,0:00:02,@Arsenpacarjua,1,Neutral,Neutral
2026-03-24 14:44:16,0:00:02,@hostfytalhcpunk,lesss goooo,Neutral,Neutral
2026-03-24 14:44:16,0:00:02,@dellyapingg-m8o,BANG KATA ILHAM KENAPA ITU OPENING NYA terlalu di besar besar kan terlalu di besar besar kan terlalu di besar besar kan terlalu di besar besar kan terlalu di besar besar kan:face-blue-smiling::face-red-heart-shape:,Neutral,Neutral
2026-03-24 14:44:17,0:00:03,@putra1-s5u,l nunggu,Neutral,Neutral
2026-03-24 14:44:17,0:00:03,@juliamhrni7359,ayo ayo ayo ayo ayoòoooooooooooo,Neutral,Neutral
2026-03-24 14:44:17,0:00:03,@manusiatidakdikenali,30 detik lagi,Neutral,Neutral
2026-03-24 14:44:18,0:00:04,@AlyaaPutri-p8h,:face-purple-crying::face-purple-crying:,Neutral,Neutral
2026-03-24 14:44:18,0:00:04,@AbdulAfid-i7y,my bini,Neutral,Neutral
2026-03-24 14:44:18,0:00:04,@SitiLutfiah-b9c,Ayoo cevetttt,Neutral,Neutral
2026-03-24 14:44:18,0:00:04,@Febri-stc,bang windah pintar pilih game,Negative,Neutral
2026-03-24 14:44:18,0:00:04,@Praman09,ayoooo,Neutral,Neutral
2026-03-24 14:44:19,0:00:05,@MikhaCarissa,halo banggg,Neutral,Neutral
2026-03-24 14:44:20,0:00:06,@prudentyo,:face_savoring_food::face_savoring_food::face_savoring_food::face_savoring_food:,Neutral,Neutral
2026-03-24 14:44:20,0:00:06,@RosellaMarcelina,1 menit lest goo,Neutral,Neutral
2026-03-24 14:44:20,0:00:06,@nervz5558,skem,Neutral,Neutral
2026-03-24 14:44:20,0:00:06,@elthaariq,Bangg aku udah gak kuattt ahhhhh,Neutral,Neutral
2026-03-24 14:44:20,0:00:06,@Sigma67-i9i,bg windah pinter milihh:face-blue-smiling::face-blue-smiling::face-blue-smiling::face-blue-smiling::face-blue-smiling::face-blue-smiling:,Neutral,Neutral
2026-03-24 14:44:21,0:00:07,@deradwirahayu2806,LETS GOOOO,Neutral,Neutral
2026-03-24 14:44:21,0:00:07,@innaismatulnabilla951,BG PLIS JANGAN DIUNDUR,Neutral,Neutral
2026-03-24 14:44:21,0:00:07,@chutiby-d1c,hayuu tinggal 1 menit,Neutral,Neutral
2026-03-24 14:44:21,0:00:07,@SasiKirana-x1l,satu menit lagi,Neutral,Neutral
2026-03-24 14:44:21,0:00:07,@RafHehere,Gw sama windah ga sabar nunggu game ini ges,Negative,Neutral
2026-03-24 14:44:22,0:00:08,@amelbta6281,CEPETTT BANG BATRE AKU MAW SEJARAT,Neutral,Neutral
2026-03-24 14:44:22,0:00:08,@syiifaaa6,letsgooooo,Neutral,Neutral
2026-03-24 14:44:23,0:00:09,@NDLW-u9b,yoyo,Neutral,Neutral
2026-03-24 14:44:23,0:00:09,@rrajennaa,L abi,Neutral,Neutral
2026-03-24 14:44:23,0:00:09,@AdibaAdiba-v4c,mnn?,Neutral,Neutral
2026-03-24 14:44:23,0:00:09,@alpukatcoklat00,LETSGGOOOOO BANGGGG,Neutral,Neutral
2026-03-24 14:44:23,0:00:09,@tsankinn,ayo bang makananku udah siap,Neutral,Neutral
2026-03-24 14:44:24,0:00:10,@bossabel620,gas bg,Neutral,Neutral
2026-03-24 14:44:24,0:00:10,@RasyaGaming24z8o,akuu BG,Neutral,Neutral
2026-03-24 14:44:24,0:00:10,@Elfira123-b2p,L Tobruk,Neutral,Neutral
2026-03-24 14:44:24,0:00:10,@Suncaze,:face-red-droopy-eyes:,Neutral,Neutral
2026-03-24 14:44:25,0:00:11,@whiskey-18,aku,Neutral,Neutral
2026-03-24 14:44:25,0:00:11,@gavinoraderiko6822,mana cuy,Neutral,Neutral
2026-03-24 14:44:25,0:00:11,@ayulizzy,:light_bulb::light_bulb::light_bulb::light_bulb:,Neutral,Neutral
2026-03-24 14:44:25,0:00:11,@akunregluar3794,lets gooooo,Neutral,Neutral
2026-03-24 14:44:25,0:00:11,@Firdausss-26,:face-red-droopy-eyes::face-red-droopy-eyes::face-red-droopy-eyes::face-red-droopy-eyes::face-red-droopy-eyes::face-red-droopy-eyes::face-red-droopy-eyes:,Neutral,Neutral
2026-03-24 14:44:25,0:00:11,@sawako.kaze_luvv,BANGG,Neutral,Neutral
2026-03-24 14:44:27,0:00:13,@hanipalabidzar,halo bang windah,Neutral,Neutral
2026-03-24 14:44:27,0:00:13,@syirenanzarayu,omgggg,Neutral,Neutral
2026-03-24 14:44:27,0:00:13,@NanaLala-bi7pv,let's goooooo,Neutral,Neutral
2026-03-24 14:44:27,0:00:13,@Kinox404,yoooo,Neutral,Neutral
2026-03-24 14:44:28,0:00:14,@jellysoul6065,gua sama ilham sepakat delay 10 menit lagi,Neutral,Neutral
2026-03-24 14:44:28,0:00:14,@ghin0204,LESGOO 1 MENIT LAGIIIIII,Neutral,Neutral
2026-03-24 14:44:31,0:00:17,@chutiby-d1c,:finger-red-number-one::finger-red-number-one::finger-red-number-one::finger-red-number-one::finger-red-number-one::finger-red-number-one::finger-red-number-one::finger-red-number-one::finger-red-number-one::finger-red-number-one:,Neutral,Neutral
2026-03-24 14:44:31,0:00:17,@junita7370,ABANG AYO,Neutral,Neutral
2026-03-24 14:44:31,0:00:17,@hostfytalhcpunk,MANA TAHANNNNNNNNNNN,Neutral,Neutral
2026-03-24 14:44:32,0:00:18,@kevin-mtaacc,let's goooo,Neutral,Neutral
2026-03-24 14:44:32,0:00:18,@kurniakurniaHAS-BY0404,"RAFIF FADHIL, RAFIF FADHIL",Neutral,Neutral
2026-03-24 14:44:32,0:00:18,@MikhaCarissa,pas banget lagi makan nihh,Neutral,Neutral
2026-03-24 14:44:32,0:00:18,@karenxyou,gass bangg,Neutral,Neutral
2026-03-24 14:44:33,0:00:19,@Nasyafineshyt,L thumbnail,Neutral,Neutral
2026-03-24 14:44:33,0:00:19,@cyliees,gas keunn,Neutral,Neutral
2026-03-24 14:44:33,0:00:19,@whoisbrayy,sekem sekem,Neutral,Neutral
2026-03-24 14:44:34,0:00:20,@orangefirelite,:popcorn-yellow-striped-smile::popcorn-yellow-striped-smile::popcorn-yellow-striped-smile::popcorn-yellow-striped-smile::popcorn-yellow-striped-smile::popcorn-yellow-striped-smile::popcorn-yellow-striped-smile::popcorn-yellow-striped-smile::popcorn-yellow-striped-smile::popcorn-yellow-striped-smile:yesss:popcorn-yellow-striped-smile::popcorn-yellow-striped-smile::popcorn-yellow-striped-smile::popcorn-yellow-striped-smile::popcorn-yellow-striped-smile::popcorn-yellow-striped-smile:,Neutral,Neutral
2026-03-24 14:44:34,0:00:20,@GooKim-swords,waduh :flushed_face::flushed_face::flushed_face::flushed_face::flushed_face::flushed_face:,Neutral,Neutral
2026-03-24 14:44:34,0:00:20,@gaby.cahayaa,LESGOOOOWWWWW,Neutral,Neutral
2026-03-24 14:44:35,0:00:21,@imageicel,AYOO,Neutral,Neutral
2026-03-24 14:44:35,0:00:21,@Vellaaa22,:face-red-droopy-eyes::face-red-droopy-eyes::face-red-droopy-eyes::face-red-droopy-eyes::face-red-droopy-eyes::face-red-droopy-eyes::face-red-droopy-eyes:,Neutral,Neutral
2026-03-24 14:44:35,0:00:21,@noyieps,LETSGOOOO,Neutral,Neutral
2026-03-24 14:44:35,0:00:21,@srl12237,1 menit lagi,Neutral,Neutral
2026-03-24 14:44:35,0:00:21,@YasherAqilah,yooooooooooo,Neutral,Neutral
2026-03-24 14:44:35,0:00:21,@ladaku.seleraku,letsgoooooo,Neutral,Neutral
2026-03-24 14:44:35,0:00:21,@NDLW-u9b,:face-red-droopy-eyes::face-red-droopy-eyes::face-red-droopy-eyes::face-red-droopy-eyes::face-red-droopy-eyes::face-red-droopy-eyes::face-red-droopy-eyes::face-red-droopy-eyes::face-red-droopy-eyes:,Neutral,Neutral
